AREA,Tokyo-Transport,Tokyo-airplane,Osaka-Transport,Osaka-airplane
Hokkaido,32870,0,39150,0
Aomori-ken,17540,33134,28130,0
Iwate-ken,14330,32508,24610,0
Miyagi-ken,12250,94360,23310,0
Akita-ken,18320,46020,28040,0
Yamagata-ken,11630,23103,22690,0
Fukushima-ken,14680,0,8790,0
Ibaraki-ken,2690,0,16460,0
Tochigi-ken,2930,0,15950,0
Gumma-ken,2800,0,15950,0
Saitama-ken,566,0,15070,0
Chiba-ken,984,0,16220,0
Tokyo-to,0,0,14698,0
Kanagawa-ken,1022,0,15130,0
Niigata-ken,10770,0,14470,0
Toyama-ken,12710,38570,9300,0
Ishikawa-ken,14800,23730,6520,0
Fukui-ken,15230,23730,3370,0
Yamanashi-ken,1580,0,15620,0
Nagano-ken,6250,0,13820,0
Gifu-ken,11710,26282,4340,0
Shizuoka-ken,6430,0,10890,0
Aichi-ken,12590,27118,7810,0
Mie-ken,13260,0,8280,0
Shiga-ken,14900,0,1740,0
Kyoto-fu,14130,12520,580,0
Osaka-fu,14680,12520,0,0
Hyogo-ken,17260,23340,1980,0
Nara-ken,15410,12520,2870,0
Wakayama-ken,15940,12520,1210,0
Tottori-ken,20710,60620,4490,0
Shimane-ken,24620,60618,11200,39763
Okayama-ken,17850,31510,3200,0
Hiroshima-ken,22060,24140,10750,48860
Yamaguchi-ken,22350,6832,13720,74934
Tokushima-ken,18970,63439,4120,0
Kagawa-ken,20040,60931,9090,0
Ehime-ken,20040,10960,7950,0
Kochi-ken,22030,70650,10890,37860
Fukuoka-ken,23770,15770,15360,12120
Saga-ken,25770,15770,18300,18270
Nagasaki-ken,28390,17140,19860,22150
Kumamoto-ken,27840,14460,18860,64029
Oita-ken,27180,12440,19120,26180
Miyazaki-ken,29380,20840,21480,13980
Kagoshima-ken,34240,31817,25290,21250
Okinawa-ken,0,20420,0,10590